Serial_ID,caption
1001,A child in a pink dress is climbing up a set of stairs in an entry way .
1001,A girl going into a wooden building .
1001,A little girl climbing into a wooden playhouse .
1001,A little girl climbing the stairs to her playhouse .
1001,A little girl in a pink dress going into a wooden cabin .
1002,A black dog and a spotted dog are fighting
1002,A black dog and a tri-colored dog playing with each other on the road .
1002,A black dog and a white dog with brown spots are staring at each other in the street .
1002,Two dogs of different breeds looking at each other on the road .
1002,Two dogs on pavement moving toward each other .
1003,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
1003,A little girl is sitting in front of a large painted rainbow .
1003,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
1003,There is a girl with pigtails sitting in front of a rainbow painting .
1003,Young girl with pigtails painting outside in the grass .
1004,A man lays on a bench while his dog sits by him .
1004,A man lays on the bench to which a white dog is also tied .
1004,a man sleeping on a bench outside with a white and black dog sitting next to him .
1004,A shirtless man lies on a park bench with his dog .
1004,man laying on bench holding leash of dog sitting on ground
1005,A man in an orange hat starring at something .
1005,A man wears an orange hat and glasses .
1005,A man with gauges and glasses is wearing a Blitz hat .
1005,A man with glasses is wearing a beer can crocheted hat .
1005,The man with pierced ears is wearing glasses and an orange hat .
1006,A child playing on a rope net .
1006,A little girl climbing on red roping .
1006,A little girl in pink climbs a rope bridge at the park .
1006,A small child grips onto the red ropes at the playground .
1006,The small child climbs on a red ropes on a playground .
1007,A black and white dog is running in a grassy garden surrounded by a white fence .
1007,A black and white dog is running through the grass .
1007,A Boston terrier is running in the grass .
1007,A Boston Terrier is running on lush green grass in front of a white fence .
1007,A dog runs on the green grass near a wooden fence .
1008,"A dog shakes its head near the shore , a red ball next to it ."
1008,A white dog shakes on the edge of a beach with an orange ball .
1008,"Dog with orange ball at feet , stands on shore shaking off water"
1008,White dog playing with a red ball on the shore near the water .
1008,White dog with brown ears standing near water with head turned to one side .
1009,A boy smiles in front of a stony wall in a city .
1009,A little boy is standing on the street while a man in overalls is working on a stone wall .
1009,A young boy runs aross the street .
1009,A young child is walking on a stone paved street with a metal pole and a man behind him .
1009,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
1010,A black dog leaps over a log .
1010,A grey dog is leaping over a fallen tree .
1010,A large black dog leaps a fallen log .
1010,A mottled black and grey dog in a blue collar jumping over a fallen tree .
1010,The black dog jumped the tree stump .
1011,A brown and white dog is running through the snow .
1011,A dog is running in the snow
1011,A dog running through snow .
1011,a white and brown dog is running through a snow covered field .
1011,The white and brown dog is running over the surface of the snow .
1012,A man in a hat is displaying pictures next to a skier in a blue hat .
1012,A man skis past another man displaying paintings in the snow .
1012,A person wearing skis looking at framed pictures set up in the snow .
1012,A skier looks at framed pictures in the snow next to trees .
1012,Man on skis looking at artwork for sale in the snow
1013,A collage of one person climbing a cliff .
1013,A group of people are rock climbing on a rock climbing wall .
1013,A group of people climbing a rock while one man belays
1013,Seven climbers are ascending a rock face whilst another man stands holding the rope .
1013,Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1014,A brown dog chases the water from a sprinkler on a lawn .
1014,a brown dog plays with the hose .
1014,A brown dog running on a lawn near a garden hose
1014,A dog is playing with a hose .
1014,Large brown dog running away from the sprinkler in the grass .
1015,A dog prepares to catch a thrown object in a field with nearby cars .
1015,A white dog is about to catch a yellow ball in its mouth .
1015,A white dog is about to catch a yellow dog toy .
1015,A white dog is ready to catch a yellow ball flying through the air .
1015,A white dog running after a yellow ball
1016,a black and white dog jumping in the air to get a toy .
1016,A black and white dog jumps up towards a yellow toy .
1016,A dog leaps to catch a ball in a field .
1016,A white dog is trying to catch a ball in midair over a grassy field .
1016,The white dog is playing in a green field with a yellow toy .
1017,A child and a woman are at waters edge in a big city .
1017,a large lake with a lone duck swimming in it with several people around the edge of it .
1017,A little boy at a lake watching a duck .
1017,A young boy waves his hand at the duck in the water surrounded by a green park .
1017,"Two people are at the edge of a lake , facing the water and the city skyline ."
1018,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller ."
1018,A couple sit on the grass with a baby and stroller .
1018,A couple with their newborn baby sitting under a tree facing a lake .
1018,A man and woman care for an infant along the side of a body of water .
1018,Couple with a baby sit outdoors next to their stroller .
1019,A black dog running in the surf .
1019,A black lab with tags frolicks in the water .
1019,A dog splashes in the water
1019,The black dog runs through the water .
1019,This is a black dog splashing in the water .
1020,A man drilling a hole in the ice .
1020,A man is drilling through the frozen ice of a pond .
1020,A person in the snow drilling a hole in the ice .
1020,A person standing on a frozen lake .
1020,Two men are ice fishing .
1021,Two different breeds of brown and white dogs play on the beach .
1021,Two dogs are making a turn on a soft sand beach .
1021,Two dogs playing in the sand at the beach .
1021,Two dogs playing together on a beach .
1021,Two large tan dogs play along a sandy beach .
1022,A man uses ice picks and crampons to scale ice .
1022,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
1022,An ice climber scaling a frozen waterfall .
1022,A person in blue and red ice climbing with two picks .
1022,Climber climbing an ice wall
1023,A black dog carries a green toy in his mouth as he walks through the grass .
1023,A black dog carrying something through the grass .
1023,A black dog has a blue toy in its mouth .
1023,A dog in grass with a blue item in his mouth .
1023,A wet black dog is carrying a green toy through the grass .
